steam_id_number,game_title,release_month,release_year,release_price,lowest_estimated_owners_number,highest_estimated_owners_number,average_estimated_owners_number,developer,publisher
196,Dragon's Dogma: Dark Arisen,January,2016,4.79,"1,000,000","2,000,000","1,500,000",Capcom,Capcom
197,Borderlands Game of the Year,June,1983,29.99,"2,000,000","5,000,000","3,500,000",Gearbox Software,2K
198,To the Moon,September,2012,9.99,"1,000,000","2,000,000","1,500,000",Freebird Games,Freebird Games
199,Borderlands 3,March,2020,59.99,"2,000,000","5,000,000","3,500,000",Gearbox Software,2K
200,Starbound,July,2016,14.99,"2,000,000","5,000,000","3,500,000",Chucklefish,Chucklefish
201,Stronghold: A Hero's Fate,November,2018,5.99,"20,000","20,000","20,000",Choice of Games,Choice of Games
202,Dangerous High School Girls in Trouble!,May,2008,19.99,"50,000","100,000","75,000",Mousechief,Mousechief
203,Wintermoor Tactics Club,May,2020,14.99,"20,000","50,000","35,000",EVC Games,Versus Evil
204,BROK the InvestiGator,August,2022,19.99,"20,000","50,000","35,000",COWCAT,COWCAT
205,Hero-U: Rogue to Redemption,July,2018,29.99,"20,000","20,000","20,000",Transolar Games,Transolar Games
206,Ys SEVEN,August,2017,24.99,"20,000","50,000","35,000",Nihon Falcom,"XSEED Games, Marvelous USA, Inc."
207,JYDGE,October,2017,14.99,"50,000","100,000","75,000",10tons Ltd,10tons Ltd
208,Virgo Versus The Zodiac,December,2019,19.99,"50,000","100,000","75,000",Moonana,Moonana
209,SpellForce 2 - Anniversary Edition,October,2009,14.99,"100,000","200,000","150,000","Phenomic, THQ Nordic",THQ Nordic
210,Kingsway,July,2017,9.99,"100,000","200,000","150,000",Andrew Morrish,Adult Swim Games
211,Dark Deity,June,2021,12.49,"100,000","200,000","150,000",Sword & Axe LLC,Freedom Games
212,Dungeon Siege II,August,2005,6.99,"500,000","1,000,000","750,000",Gas Powered Games,Square Enix
213,SpellForce 3: Soul Harvest,May,2019,19.99,"100,000","200,000","150,000",Grimlore Games,THQ Nordic
214,Fallen Enchantress: Legendary Heroes,May,2013,24.99,"200,000","500,000","350,000",Stardock Entertainment,Stardock Entertainment
215,The Legend of Tianding,November,2021,19.99,"50,000","100,000","75,000",Creative Games Computer Graphics Corporation,Neon Doctrine
216,Battle Chef Brigade Deluxe,November,2017,19.99,"100,000","200,000","150,000",Trinket Studios,Trinket Studios
217,Dreamscaper,August,2021,24.99,"50,000","100,000","75,000",Afterburner Studios,"Freedom Games, Maple Whispering Limited"
218,Icewind Dale: Enhanced Edition,October,2014,19.99,"200,000","500,000","350,000",Beamdog,Beamdog
219,The Legend of Heroes: Trails in the Sky SC,October,2015,29.99,"100,000","200,000","150,000",Nihon Falcom,"XSEED Games, Marvelous USA, Inc."
220,ATOM RPG Trudograd,September,2021,10.99,"100,000","200,000","150,000",AtomTeam,AtomTeam
221,FATE,May,2005,7.99,"200,000","500,000","350,000",WildTangent,WildTangent
222,Tales of Vesperia: Definitive Edition,January,2019,49.99,"200,000","500,000","350,000","QLOC, BANDAI NAMCO Studios Inc.",BANDAI NAMCO Entertainment
223,Expeditions: Rome,January,2022,29.69,"200,000","500,000","350,000",Logic Artists,THQ Nordic
224,Rampage Knights,September,2015,11.99,"200,000","500,000","350,000",Rake in Grass,Rake in Grass
225,ArcheAge,March,2015,0,"1,000,000","2,000,000","1,500,000",XLGAMES,Kakao Games Europe B.V.
226,Card Hunter,July,2015,0,"1,000,000","2,000,000","1,500,000",The Knights of Unity,The Knights of Unity
227,The Legend of Heroes: Trails of Cold Steel,August,2017,39.99,"200,000","500,000","350,000",Nihon Falcom,"XSEED Games, Marvelous USA, Inc."
228,Hand of Fate 2,November,2017,29.99,"200,000","500,000","350,000",Defiant Development,Defiant Development
229,WORLD OF HORROR,February,2020,14.99,"200,000","500,000","350,000",panstasz,Ysbryd Games
230,Monster Sanctuary,December,2020,19.99,"200,000","500,000","350,000",moi rai games,Team17
231,Impostor Factory,September,2021,9.99,"100,000","200,000","150,000",Freebird Games,Freebird Games
232,Ruined King: A League of Legends Story,November,2021,29.99,"200,000","500,000","350,000",Airship Syndicate,Riot Forge
233,Age of Wonders III,March,2014,29.99,"1,000,000","2,000,000","1,500,000",Triumph Studios,Paradox Interactive
234,OCTOPATH TRAVELER,June,2019,29.99,"500,000","1,000,000","750,000","Square Enix, ACQUIRE Corp.",Square Enix
